Date,Price,Open,High,Low,Vol.,Change %
1/8/2012,13090.84,13007.47,13330.76,12778.90,2.27B,0.63%
1/9/2012,13437.13,13092.15,13653.24,12977.09,2.70B,2.65%
1/10/2012,13096.46,13437.66,13661.87,13039.86,2.47B,-2.54%
1/11/2012,13025.58,13099.19,13290.75,12471.49,2.68B,-0.54%
1/12/2012,13104.14,13027.73,13365.86,12883.89,2.67B,0.60%
1/1/2013,13860.58,13104.30,13969.99,13104.30,2.79B,5.77%
1/2/2013,14054.49,13860.58,14149.15,13784.01,2.49B,1.40%
1/3/2013,14578.54,14054.49,14585.10,13937.60,2.55B,3.73%
1/4/2013,14839.80,14578.54,14887.51,14434.43,2.92B,1.79%
1/5/2013,15115.57,14839.80,15542.40,14687.05,2.77B,1.86%
1/6/2013,14909.60,15123.55,15340.09,14551.27,2.93B,-1.36%
1/7/2013,15499.54,14911.60,15634.32,14858.93,2.57B,3.96%
1/8/2013,14810.31,15503.85,15658.43,14760.41,2.33B,-4.45%
1/9/2013,15129.67,14801.55,15709.58,14777.48,2.37B,2.16%
1/10/2013,15545.75,15132.49,15721.00,14719.43,2.21B,2.75%
1/11/2013,16086.41,15558.01,16174.51,15522.18,1.82B,3.48%
1/12/2013,16576.66,16087.12,16588.25,15703.79,2.06B,3.05%
1/1/2014,15698.85,16572.17,16573.07,15617.55,2.18B,-5.30%
1/2/2014,16321.71,15697.69,16398.95,15340.69,2.07B,3.97%
1/3/2014,16457.66,16321.71,16505.70,16046.99,2.10B,0.83%
1/4/2014,16580.84,16458.05,16631.63,16015.32,1.99B,0.75%
1/5/2014,16717.17,16580.26,16735.51,16341.30,1.64B,0.82%
1/6/2014,16826.60,16716.85,16978.02,16673.65,1.76B,0.65%
1/7/2014,16563.30,16828.53,17151.56,16563.30,1.69B,-1.56%
1/8/2014,17098.45,16561.70,17153.80,16333.78,1.48B,3.23%
1/9/2014,17042.90,17097.42,17350.64,16934.43,1.87B,-0.32%
1/10/2014,17390.52,17040.46,17395.54,15855.12,2.31B,2.04%
1/11/2014,17828.24,17390.90,17894.83,17278.36,1.52B,2.52%
1/12/2014,17823.07,17827.27,18103.45,17067.59,2.22B,-0.03%
1/1/2015,17164.95,17823.07,17951.78,17136.30,2.17B,-3.69%
1/2/2015,18132.70,17169.99,18244.38,17037.76,1.75B,5.64%
1/3/2015,17776.12,18134.05,18288.63,17579.27,2.47B,-1.97%
1/4/2015,17840.52,17778.52,18175.56,17585.01,2.17B,0.36%
1/5/2015,18010.68,17859.27,18351.36,17733.12,1.83B,0.95%
1/6/2015,17619.51,18017.82,18188.81,17576.50,2.22B,-2.17%
